"";"Company";"Date.Made.Public";"Total.Records";"Type.of.breach";"Type.of.organization";"Gather.Information.Source";"year"
"7102";"washington health system";2016-12-02;544;"PHYS";"MED";"US GA: Federal - HIPAA";2016
"7103";"cvs health";2016-12-05;626;"PHYS";"MED";"US GA: Federal - HIPAA";2016
"7104";"meigs county ems";2016-12-05;817;"HACK";"MED";"US GA: Federal - HIPAA";2016
"7105";"dr melissa d selke";2016-12-05;4277;"HACK";"MED";"US GA: Federal - HIPAA";2016
"7106";"preventice services llc";2016-12-07;6800;"DISC";"MED";"US GA: Federal - HIPAA";2016
"7107";"black hawk college";2016-12-08;1000;"HACK";"MED";"US GA: Federal - HIPAA";2016
"7108";"appalachian gastroenterology p a";2016-12-10;11000;"HACK";"MED";"US GA: Federal - HIPAA";2016
"7109";"charles stamitoles";2016-12-11;5600;"PHYS";"MED";"US GA: Federal - HIPAA";2016
"7110";"quest diagnostics";2016-12-12;34055;"HACK";"MED";"US GA: Federal - HIPAA";2016
"7111";"oak cliff orthopaedic associates";2016-12-14;1057;"PHYS";"MED";"US GA: Federal - HIPAA";2016
"7112";"east valley community health center inc";2016-12-15;65000;"HACK";"MED";"US GA: Federal - HIPAA";2016
"7113";"fairbanks hospital";2016-12-16;12994;"DISC";"MED";"US GA: Federal - HIPAA";2016
"7114";"southcentral foundation";2016-12-16;14719;"HACK";"MED";"US GA: Federal - HIPAA";2016
"7115";"county of los angeles departments of health and mental health";2016-12-16;749017;"HACK";"MED";"US GA: Federal - HIPAA";2016
"7116";"humana inc case hu16004f3";2016-12-19;3674;"DISC";"MED";"US GA: Federal - HIPAA";2016
"7117";"brodhead dental center";2016-12-19;5872;"HACK";"MED";"US GA: Federal - HIPAA";2016
"7118";"alliant health plans inc";2016-12-20;1042;"HACK";"MED";"US GA: Federal - HIPAA";2016
"7119";"desert care family and sports medicine";2016-12-20;500;"HACK";"MED";"US GA: Federal - HIPAA";2016
"7120";"henry county health department";2016-12-21;574;"PHYS";"MED";"US GA: Federal - HIPAA";2016
"7121";"community health plan of washington";2016-12-21;381504;"HACK";"MED";"US GA: Federal - HIPAA";2016
"7122";"advantage health solutions";2016-12-22;2387;"HACK";"MED";"US GA: Federal - HIPAA";2016
"7123";"stephen j helvie m d";2016-12-22;2013;"PHYS";"MED";"US GA: Federal - HIPAA";2016
"7124";"waiting room solutions limited liability limited partnership";2016-12-23;700;"DISC";"MED";"US GA: Federal - HIPAA";2016
"7125";"brandywine pediatrics p a";2016-12-23;26873;"HACK";"MED";"US GA: Federal - HIPAA";2016
"7126";"susan m hughes center";2016-12-27;11400;"HACK";"MED";"US GA: Federal - HIPAA";2016
"7127";"maryland medical center dr morrill";2016-12-28;10000;"HACK";"MED";"US GA: Federal - HIPAA";2016
"7128";"primewest health";2016-12-29;2441;"HACK";"MED";"US GA: Federal - HIPAA";2016
"7129";"pathgroup";2016-12-29;1443;"DISC";"MED";"US GA: Federal - HIPAA";2016
"7130";"horizon healthcare services inc doing business as horizon blue cross blue shield of new jersey and its affiliates";2016-12-30;55700;"DISC";"MED";"US GA: Federal - HIPAA";2016
"7131";"state of new hampshire department of health and human services";2016-12-30;15000;"HACK";"MED";"US GA: Federal - HIPAA";2016
"7132";"bryan myers md pc ashley dewitt do pc michael nobles md pc";2016-12-30;13150;"HACK";"MED";"US GA: Federal - HIPAA";2016
"7133";"metroplus health plan";2017-01-03;808;"DISC";"MED";"US GA: Federal - HIPAA";2017
"7134";"community health plan of washington";2017-01-03;1375;"HACK";"MED";"US GA: Federal - HIPAA";2017
"7135";"american urgent care center psc";2017-01-05;822;"PHYS";"MED";"US GA: Federal - HIPAA";2017
"7136";"complete wellness";2017-01-06;600;"PHYS";"MED";"US GA: Federal - HIPAA";2017
"7137";"office of dr david elbaum";2017-01-09;500;"PHYS";"MED";"US GA: Federal - HIPAA";2017
"7138";"ssm dean medical group";2017-01-10;4800;"DISC";"MED";"US GA: Federal - HIPAA";2017
"7139";"verity medical foundation";2017-01-11;10164;"HACK";"MED";"US GA: Federal - HIPAA";2017
"7140";"escambia county alabama community hospitals inc d b a atmore community hospital";2017-01-12;1090;"DISC";"MED";"US GA: Federal - HIPAA";2017
"7141";"university of maryland orthopaedic associates p a";2017-01-13;1320;"HACK";"MED";"US GA: Federal - HIPAA";2017
"7142";"st luke s hospital";2017-01-16;600;"HACK";"MED";"US GA: Federal - HIPAA";2017
"7143";"sentara healthcare";2017-01-16;5454;"HACK";"MED";"US GA: Federal - HIPAA";2017
"7144";"trihealth inc";2017-01-19;1126;"DISC";"MED";"US GA: Federal - HIPAA";2017
"7145";"associated catholic charities incorporated";2017-01-20;1145;"DISC";"MED";"US GA: Federal - HIPAA";2017
"7146";"covenant medical center inc";2017-01-20;6197;"DISC";"MED";"US GA: Federal - HIPAA";2017
"7147";"multnomah county";2017-01-20;1700;"DISC";"MED";"US GA: Federal - HIPAA";2017
"7148";"stephenville medical surgical clinic";2017-01-23;75000;"DISC";"MED";"US GA: Federal - HIPAA";2017
"7149";"roper st francis healthcare";2017-01-24;576;"PHYS";"MED";"US GA: Federal - HIPAA";2017
"7150";"multicare health system";2017-01-26;1249;"HACK";"MED";"US GA: Federal - HIPAA";2017
"7151";"the r o a d s foundation inc dba r o a d s community care clinic";2017-01-26;670;"PHYS";"MED";"US GA: Federal - HIPAA";2017
"7152";"princeton pain management";2017-01-27;4668;"HACK";"MED";"US GA: Federal - HIPAA";2017
"7153";"synergy specialists medical group inc jay s berenter dpm";2017-01-27;569;"HACK";"MED";"US GA: Federal - HIPAA";2017
"7154";"shiel sexton";2017-01-27;710;"DISC";"MED";"US GA: Federal - HIPAA";2017
"7155";"wellcare health plans inc";2017-01-27;24809;"HACK";"MED";"US GA: Federal - HIPAA";2017
"7156";"vertiv co health welfare plan";2017-01-31;955;"DISC";"MED";"US GA: Federal - HIPAA";2017
"7157";"the affiliated sante group";2017-01-31;550;"DISC";"MED";"US GA: Federal - HIPAA";2017
"7158";"catalina post acute care and rehabilitation";2017-02-02;2953;"PHYS";"MED";"US GA: Federal - HIPAA";2017
"7159";"family medicine east chartered";2017-02-03;6800;"PHYS";"MED";"US GA: Federal - HIPAA";2017
"7160";"walgreen co";2017-02-03;4500;"DISC";"MED";"US GA: Federal - HIPAA";2017
"7161";"medical information management systems llc";2017-02-09;11707;"HACK";"MED";"US GA: Federal - HIPAA";2017
"7162";"bloom physical therapy llc dba physicians physical therapy service";2017-02-09;500;"DISC";"MED";"US GA: Federal - HIPAA";2017
"7163";"benesch friedlander coplan aronoff llp";2017-02-10;1134;"PHYS";"MED";"US GA: Federal - HIPAA";2017
"7164";"st joseph s hospital and medical center";2017-02-13;623;"DISC";"MED";"US GA: Federal - HIPAA";2017
"7165";"2020 on site optometry";2017-02-13;15400;"HACK";"MED";"US GA: Federal - HIPAA";2017
"7166";"hillsborough county aging services department";2017-02-16;650;"PHYS";"MED";"US GA: Federal - HIPAA";2017
"7167";"robert e torti md pa dba retina specialists";2017-02-17;887;"PHYS";"MED";"US GA: Federal - HIPAA";2017
"7168";"family service rochester";2017-02-17;17037;"HACK";"MED";"US GA: Federal - HIPAA";2017
"7169";"emblem health ghi";2017-02-17;703;"DISC";"MED";"US GA: Federal - HIPAA";2017
"7170";"chadron community hospital health services";2017-02-19;702;"DISC";"MED";"US GA: Federal - HIPAA";2017
"7171";"syed ahmed md pa";2017-02-23;500;"PHYS";"MED";"US GA: Federal - HIPAA";2017
"7172";"allina health system";2017-02-23;776;"PHYS";"MED";"US GA: Federal - HIPAA";2017
"7173";"north carolina department of health and human services";2017-02-23;12731;"DISC";"MED";"US GA: Federal - HIPAA";2017
"7174";"west virginia university hospitals east inc dba university healthcare";2017-02-24;7445;"PHYS";"MED";"US GA: Federal - HIPAA";2017
"7175";"leo edwards jr m d";2017-02-28;19564;"HACK";"MED";"US GA: Federal - HIPAA";2017
"7176";"sharp memorial hospital";2017-02-28;754;"PHYS";"MED";"US GA: Federal - HIPAA";2017
"7177";"va st louis health care system";2017-03-01;724;"DISC";"MED";"US GA: Federal - HIPAA";2017
"7178";"memphis va medical center";2017-03-01;687;"DISC";"MED";"US GA: Federal - HIPAA";2017
"7179";"commonwealth health corporation";2017-03-01;697800;"PHYS";"MED";"US GA: Federal - HIPAA";2017
"7180";"visionquest eyecare";2017-03-02;85995;"HACK";"MED";"US GA: Federal - HIPAA";2017
"7181";"saliba s extended care pharmacy";2017-03-03;6599;"DISC";"MED";"US GA: Federal - HIPAA";2017
"7182";"american home patient";2017-03-06;13861;"PHYS";"MED";"US GA: Federal - HIPAA";2017
"7183";"cvs health";2017-03-08;724;"PHYS";"MED";"US GA: Federal - HIPAA";2017
"7184";"primary care specialists inc";2017-03-09;65000;"HACK";"MED";"US GA: Federal - HIPAA";2017
"7185";"st louis children s hospital";2017-03-09;643;"DISC";"MED";"US GA: Federal - HIPAA";2017
"7186";"local 693 plumbers pipefitters health welfare fund";2017-03-13;1291;"PHYS";"MED";"US GA: Federal - HIPAA";2017
"7187";"estill county chiropractic pllc";2017-03-16;5335;"HACK";"MED";"US GA: Federal - HIPAA";2017
"7188";"st charles health system";2017-03-16;2459;"DISC";"MED";"US GA: Federal - HIPAA";2017
"7189";"houston methodist hospital";2017-03-17;1417;"DISC";"MED";"US GA: Federal - HIPAA";2017
"7190";"rocky mountain health maintenance organization inc";2017-03-17;1320;"DISC";"MED";"US GA: Federal - HIPAA";2017
"7191";"highland rivers community service board";2017-03-20;967;"DISC";"MED";"US GA: Federal - HIPAA";2017
"7192";"unc health care";2017-03-20;1298;"DISC";"MED";"US GA: Federal - HIPAA";2017
"7193";"urology austin pllc";2017-03-22;279663;"HACK";"MED";"US GA: Federal - HIPAA";2017
"7194";"hospice of north central ohio";2017-03-23;1051;"DISC";"MED";"US GA: Federal - HIPAA";2017
"7195";"specialty dental partners of philadelphia pllc dba rich orthodontics";2017-03-23;960;"PHYS";"MED";"US GA: Federal - HIPAA";2017
"7196";"wellspan health";2017-03-23;732;"DISC";"MED";"US GA: Federal - HIPAA";2017
"7197";"washington university school of medicine";2017-03-25;80270;"HACK";"MED";"US GA: Federal - HIPAA";2017
"7198";"lane community college health clinic";2017-03-25;1911;"HACK";"MED";"US GA: Federal - HIPAA";2017
"7199";"abcd pediatrics p a";2017-03-26;55447;"HACK";"MED";"US GA: Federal - HIPAA";2017
"7200";"women s care of somerset";2017-03-31;1806;"DISC";"MED";"US GA: Federal - HIPAA";2017
"7201";"skin cancer specialists p c";2017-03-31;3365;"HACK";"MED";"US GA: Federal - HIPAA";2017
"7202";"apex edi inc";2017-03-31;1132;"HACK";"MED";"US GA: Federal - HIPAA";2017
"7203";"memorial healthcare";2017-04-03;685;"DISC";"MED";"US GA: Federal - HIPAA";2017
"7204";"ashland women s health";2017-04-04;19727;"HACK";"MED";"US GA: Federal - HIPAA";2017
"7205";"university of oklahoma ou physicians";2017-04-04;1637;"DISC";"MED";"US GA: Federal - HIPAA";2017
"7206";"carson valley medical center";2017-04-04;11368;"DISC";"MED";"US GA: Federal - HIPAA";2017
"7207";"cardiology center of acadiana";2017-04-07;9681;"HACK";"MED";"US GA: Federal - HIPAA";2017
"7208";"amedisys west virginia llc";2017-04-11;611;"PHYS";"MED";"US GA: Federal - HIPAA";2017
"7209";"eyecare services partners management llc";2017-04-12;9129;"DISC";"MED";"US GA: Federal - HIPAA";2017
"7210";"area agency of aging 1 b";2017-04-13;1741;"DISC";"MED";"US GA: Federal - HIPAA";2017
"7211";"mvp health care inc";2017-04-14;951;"DISC";"MED";"US GA: Federal - HIPAA";2017
"7212";"western health screening";2017-04-14;15326;"PHYS";"MED";"US GA: Federal - HIPAA";2017
"7213";"humana inc case hu17001cc";2017-04-18;3831;"HACK";"MED";"US GA: Federal - HIPAA";2017
"7214";"valley women s health s c";2017-04-19;5155;"HACK";"MED";"US GA: Federal - HIPAA";2017
"7215";"behavioral health center";2017-04-21;4229;"HACK";"MED";"US GA: Federal - HIPAA";2017
"7216";"lifespan corporation";2017-04-21;20431;"PHYS";"MED";"US GA: Federal - HIPAA";2017
"7217";"iowa veterans home";2017-04-21;2969;"DISC";"MED";"US GA: Federal - HIPAA";2017
"7218";"atlantic digestive specialists";2017-04-21;2081;"HACK";"MED";"US GA: Federal - HIPAA";2017
"7219";"memorial hospital clinic south";2017-04-26;842;"HACK";"MED";"US GA: State";2017
"7220";"spine specialist";2017-04-28;600;"PHYS";"MED";"US GA: Federal - HIPAA";2017
"7221";"harrisburg gastroenterology ltd";2017-04-28;93323;"HACK";"MED";"US GA: Federal - HIPAA";2017
"7222";"diamond institute for fertility and menopause llc";2017-04-28;14633;"HACK";"MED";"US GA: Federal - HIPAA";2017
"7223";"michagan facial aesthetic surgeons d b a university physician group";2017-04-28;3467;"PHYS";"MED";"US GA: Federal - HIPAA";2017
"7224";"nova southeastern university";2017-05-02;1086;"PHYS";"MED";"US GA: Federal - HIPAA";2017
"7225";"capital nephrology";2017-05-02;4000;"HACK";"MED";"US GA: Federal - HIPAA";2017
"7226";"lsu healthcare network";2017-05-04;2200;"PHYS";"MED";"US GA: Federal - HIPAA";2017
"7227";"aerocare holdings";2017-05-04;860;"DISC";"MED";"US GA: Federal - HIPAA";2017
"7228";"mecklenburg county north carolina";2017-05-04;2000;"DISC";"MED";"US GA: Federal - HIPAA";2017
"7229";"clinton county board of developmental disabilities";2017-05-05;1243;"HACK";"MED";"US GA: Federal - HIPAA";2017
"7230";"jones family practice p a";2017-05-05;742;"DISC";"MED";"US GA: Federal - HIPAA";2017
"7231";"new york city health and hospitals corporation coney island hospital";2017-05-09;3494;"DISC";"MED";"US GA: Federal - HIPAA";2017
"7232";"walnut place";2017-05-12;5000;"HACK";"MED";"US GA: Federal - HIPAA";2017
"7234";"florida department of agriculture";2017-05-23;16659;"HACK";"GOV";"Media";2017
"7239";"the arizona department of health services";2017-05-26;2500;"PHYS";"MED";"Media";2017
"7245";"dr zain kadri";2017-06-05;15000;"INSD";"MED";"Media";2017
"7246";"kennewick general hospital dba trios health";2017-05-18;569;"DISC";"MED";"US GA: Federal - HIPAA";2017
"7247";"neeley nemeth llp d b a barton oaks dental group";2017-05-18;17090;"HACK";"MED";"US GA: Federal - HIPAA";2017
"7248";"children s mercy hospital";2017-05-19;5511;"DISC";"MED";"US GA: Federal - HIPAA";2017
"7249";"d andrew loomis md paula schulze md tammara stefanelli md christen vu do anja crider md";2017-05-24;9000;"HACK";"MED";"US GA: Federal - HIPAA";2017
"7250";"mississippi division of medicaid";2017-05-26;5220;"DISC";"MED";"US GA: Federal - HIPAA";2017
"7251";"n fred eaglstein d o d b a dermatology and laser center";2017-05-30;2000;"DISC";"MED";"US GA: Federal - HIPAA";2017
"7253";"deep root analytics";2017-06-19;1,98e+08;"DISC";"BSO";"Media";2017
"7255";"oklahoma university";2017-06-14;29000;"DISC";"EDU";"Media";2017
"7256";"miami dade county school district";2017-06-21;2;"DISC";"EDU";"Media";2017
"7261";"uw health";2017-05-25;2036;"HACK";"MED";"US GA: Federal - HIPAA";2017
"7263";"au medical center inc";2017-05-26;5600;"HACK";"MED";"US GA: Federal - HIPAA";2017
"7264";"beacon health system";2017-05-26;1239;"DISC";"MED";"US GA: Federal - HIPAA";2017
"7265";"sound community services inc";2017-05-26;1278;"HACK";"MED";"US GA: Federal - HIPAA";2017
"7266";"arizona department of health services";2017-05-26;2500;"PHYS";"MED";"US GA: Federal - HIPAA";2017
"7268";"cchi insurance services";2017-06-01;1000;"PHYS";"MED";"US GA: Federal - HIPAA";2017
"7269";"lkm enterprises inc";2017-06-01;3400;"PHYS";"MED";"US GA: Federal - HIPAA";2017
"7270";"north dakota department of human services";2017-06-01;2452;"PHYS";"MED";"US GA: Federal - HIPAA";2017
"7271";"toth enterprises ii d b a victory medical";2017-06-05;2000;"DISC";"MED";"US GA: Federal - HIPAA";2017
"7272";"southwest community health center";2017-06-07;6000;"PHYS";"MED";"US GA: Federal - HIPAA";2017
"7273";"tennessee rural health improvement association";2017-06-08;588;"PHYS";"MED";"US GA: Federal - HIPAA";2017
"7274";"ssm depaul medical group dr syed khader";2017-06-09;836;"PHYS";"MED";"US GA: Federal - HIPAA";2017
"7275";"texas health and human services";2017-06-15;1842;"PHYS";"MED";"US GA: Federal - HIPAA";2017
"7276";"airway oxygen inc";2017-06-16;5e+05;"HACK";"MED";"US GA: Federal - HIPAA";2017
"7280";"texas association of school boards";2017-06-27;6100;"DISC";"GOV";"Media";2017
"7283";"torrance memorial medical center";2017-06-19;46632;"HACK";"MED";"US GA: Federal - HIPAA";2017
"7284";"family tree health clinic";2017-06-19;13402;"HACK";"MED";"US GA: Federal - HIPAA";2017
"7285";"cleveland medical associates pllc";2017-06-20;22000;"HACK";"MED";"US GA: Federal - HIPAA";2017
"7286";"tampa bay surgery center";2017-06-20;25848;"HACK";"MED";"US GA: Federal - HIPAA";2017
"7287";"aetna inc";2017-06-20;5002;"DISC";"MED";"US GA: Federal - HIPAA";2017
"7288";"saint thomas rutherford hospital";2017-06-22;2837;"PHYS";"MED";"US GA: Federal - HIPAA";2017
"7289";"enterprise services llc";2017-06-27;56075;"DISC";"MED";"US GA: Federal - HIPAA";2017
"7291";"cyberswim inc";2014-10-14;833;"HACK";"MED";"US GA: Federal - HIPAA";2014
"7293";"pulte mortgage llc";2014-10-14;5;"PHYS";"MED";"US GA: Federal - HIPAA";2014
"7294";"allianz life insurance company of north america";2014-12-26;5;"DISC";"MED";"US GA: State";2014
"7295";"transamerica premier life insurance company";2014-12-23;1;"DISC";"MED";"US GA: State";2014
"7296";"six red marbles";2014-12-26;41;"DISC";"MED";"US GA: Federal - HIPAA";2014
"7297";"novo nordisk inc";2014-12-18;3;"DISC";"MED";"US GA: Federal - HIPAA";2014
"7298";"cultivian ventures llc";2014-11-24;1;"HACK";"MED";"US GA: Federal - HIPAA";2014
"7301";"sony pictures entertainment";2014-12-12;45;"HACK";"MED";"US GA: Federal - HIPAA";2014
"7302";"quest diagnostics";2014-12-19;571;"DISC";"MED";"US GA: Federal - HIPAA";2014
"7303";"mosaic sales solutions us operating co llc";2014-12-11;3477;"PHYS";"MED";"US GA: Federal - HIPAA";2014
"7304";"point loma nazarene university";2014-12-15;2;"HACK";"MED";"US GA: State";2014
"7305";"apple leisure group and amresorts";2014-12-15;27;"HACK";"MED";"US GA: State";2014
"7307";"id parts llc";2014-12-18;375;"HACK";"MED";"US GA: Federal - HIPAA";2014
"7308";"dutch bros coffee";2014-12-18;18;"HACK";"MED";"US GA: Federal - HIPAA";2014
"7310";"bolderimage company";2014-12-20;4;"HACK";"MED";"US GA: State";2014
"7311";"azusa pacific university";2014-12-22;2;"PHYS";"MED";"US GA: Federal - HIPAA";2014
"7312";"corday productions inc";2014-12-24;2;"HACK";"MED";"US GA: Federal - HIPAA";2014
"7313";"lokai holdings llc";2014-12-24;1847;"HACK";"MED";"US GA: Federal - HIPAA";2014
"7315";"la jolla group inc";2014-12-31;28;"HACK";"MED";"US GA: State";2014
"7316";"alliedbarton security services llc";2014-11-21;25;"INSD";"MED";"US GA: Federal - HIPAA";2014
"7317";"prince george s county public schools";2014-11-20;10400;"DISC";"MED";"US GA: Federal - HIPAA";2014
"7318";"api group inc";2014-11-21;32;"DISC";"MED";"US GA: State";2014
"7319";"simms fishing products";2014-11-24;29;"HACK";"MED";"US GA: State";2014
"7320";"american residuals and talent inc";2014-11-25;47;"HACK";"MED";"US GA: Federal - HIPAA";2014
"7321";"oregon educators benefit board";2014-11-25;49;"DISC";"MED";"US GA: Federal - HIPAA";2014
"7322";"calypso st barth inc";2014-11-26;33;"HACK";"MED";"US GA: Federal - HIPAA";2014
"7323";"holiday motel";2014-12-01;17;"HACK";"MED";"US GA: State";2014
"7324";"blue mountain community foundation";2014-12-01;2;"DISC";"MED";"US GA: State";2014
"7325";"sands casino resort bethlehem";2014-12-05;12;"HACK";"MED";"US GA: State";2014
"7326";"bebe stores inc";2014-12-05;1339;"HACK";"MED";"US GA: State";2014
"7327";"visionworks";2014-11-12;71701;"PHYS";"MED";"US GA: Federal - HIPAA";2014
"7329";"reeves inernational inc";2014-10-23;379;"HACK";"MED";"US GA: State";2014
"7330";"carefirst bluecross blueshield";2014-10-23;1;"DISC";"MED";"US GA: State";2014
"7331";"gold s gym";2014-10-15;1;"INSD";"MED";"US GA: State";2014
"7332";"arizona state retirement system";2014-10-28;18;"DISC";"MED";"US GA: State";2014
"7333";"duluth pack";2014-10-27;1;"HACK";"MED";"US GA: State";2014
"7334";"camp bow wow franchising inc";2014-11-03;2;"HACK";"MED";"US GA: State";2014
"7335";"wyndham vacation resorts inc";2014-11-03;1;"INSD";"MED";"US GA: State";2014
"7336";"direct learning systems inc d b a 123ce com";2014-10-27;34;"HACK";"MED";"US GA: State";2014
"7337";"nationstar mortgage llc d b a champion mortgage";2014-10-31;74;"DISC";"MED";"US GA: State";2014
"7338";"modern gun school";2014-10-27;8;"HACK";"MED";"US GA: State";2014
"7339";"ez prints inc";2014-11-14;53;"HACK";"MED";"US GA: State";2014
"7340";"primerica";2014-10-16;4;"PHYS";"MED";"US GA: State";2014
"7341";"experian";2014-10-20;2;"HACK";"MED";"US GA: State";2014
"7342";"experian";2014-11-21;9;"HACK";"MED";"US GA: State";2014
"7344";"experian";2014-11-03;4;"DISC";"MED";"US GA: State";2014
"7345";"citibank n a";2014-11-13;6;"DISC";"MED";"US GA: State";2014
"7346";"penn highlands brookville";2014-10-09;2;"HACK";"MED";"US GA: State";2014
"7348";"national domestic workers";2014-10-10;18;"HACK";"MED";"US GA: State";2014
"7349";"sourcebooks inc";2014-10-20;286;"HACK";"MED";"US GA: State";2014
"7350";"columbia southern university";2014-10-20;59;"DISC";"MED";"US GA: State";2014
"7351";"townsend enterprises inc d b a the sinclair institute";2014-10-22;6;"HACK";"MED";"US GA: State";2014
"7352";"backcountry gear";2014-10-17;2;"HACK";"MED";"US GA: State";2014
"7353";"alliance workplace solutions llc";2014-10-23;93;"PHYS";"MED";"US GA: State";2014
"7354";"benefit express services";2014-10-24;3;"DISC";"MED";"US GA: State";2014
"7356";"memberclicks inc d b a moolah payments";2014-11-18;11;"PHYS";"MED";"US GA: State";2014
"7359";"american athletic conference";2014-10-29;6;"HACK";"MED";"US GA: State";2014
"7362";"m t bank identity theft";2014-11-02;41;"PHYS";"MED";"US GA: State";2014
"7363";"nova southeastern university";2014-11-06;13;"HACK";"MED";"US GA: State";2014
"7364";"aarow equipment services inc";2014-11-07;16;"PHYS";"MED";"US GA: State";2014
"7365";"evolution nature corp d b a the evolution store";2014-10-09;23;"HACK";"MED";"US GA: State";2014
"7366";"valeritas";2014-09-24;1;"DISC";"MED";"US GA: State";2014
"7367";"north american title company";2014-09-22;1;"DISC";"MED";"US GA: State";2014
"7368";"six continents hotels inc";2014-09-23;1;"INSD";"MED";"US GA: State";2014
"7369";"rentrak corporation";2014-09-23;1;"PHYS";"MED";"US GA: State";2014
"7371";"pacific biosciences of california inc";2014-09-24;16;"PHYS";"MED";"US GA: State";2014
"7372";"carecentrix inc";2014-09-18;1;"INSD";"MED";"US GA: State";2014
"7373";"booking com";2014-09-18;1;"HACK";"MED";"US GA: State";2014
"7374";"viator";2014-09-18;8421;"HACK";"MED";"US GA: State";2014
"7375";"mercy health services";2014-09-17;1;"DISC";"MED";"US GA: State";2014
"7376";"legacy consulting llc";2014-09-13;2;"DISC";"MED";"US GA: State";2014
"7378";"uil holdings corporation";2014-09-29;5;"PHYS";"MED";"US GA: State";2014
"7379";"flinn scientific inc";2014-10-01;127;"HACK";"MED";"US GA: State";2014
"7380";"the county of hertford county north carolina";2014-10-03;19;"DISC";"MED";"US GA: State";2014
"7381";"ameriprise financial services inc";2014-09-09;2;"PHYS";"MED";"US GA: State";2014
"7383";"tremec";2014-09-11;5;"PHYS";"MED";"US GA: State";2014
"7384";"california state university east bay";2014-09-09;10;"HACK";"MED";"US GA: State";2014
"7385";"yandy com";2014-09-09;941;"HACK";"MED";"US GA: State";2014
"7386";"bartell hotels";2014-09-15;81;"HACK";"MED";"US GA: State";2014
"7387";"holy cross hospital";2014-09-08;3;"HACK";"MED";"US GA: State";2014
"7388";"tim mccoy associates dba neat management group";2014-09-17;151;"PHYS";"MED";"US GA: State";2014
"7389";"metropolitan life insurance company";2014-09-24;10;"DISC";"MED";"US GA: State";2014
"7390";"experian";2014-09-26;19;"HACK";"MED";"US GA: State";2014
"7391";"fidelity investments";2014-09-26;1;"DISC";"MED";"US GA: State";2014
"7392";"freedom management group llc";2014-08-12;155;"HACK";"MED";"US GA: State";2014
"7395";"m t bank";2014-08-20;1;"DISC";"MED";"US GA: State";2014
"7398";"republic bank trust company";2014-09-05;2;"PHYS";"MED";"US GA: State";2014
"7399";"polish falcons of america";2014-08-06;1;"PHYS";"MED";"US GA: State";2014
"7400";"signal outdoor advertising llc";2014-08-01;33;"DISC";"MED";"US GA: State";2014
"7403";"lpl financial llc";2014-09-02;11;"DISC";"MED";"US GA: State";2014
"7405";"nationstar mortgage llc";2014-09-02;1;"DISC";"MED";"US GA: State";2014
"7407";"diatherix laboratories";2014-08-08;1;"HACK";"MED";"US GA: State";2014
"7408";"harry barker";2014-08-12;43;"HACK";"MED";"US GA: State";2014
"7410";"tokyo electric power company inc";2014-08-14;7;"DISC";"MED";"US GA: State";2014
"7411";"anderson murison inc";2014-08-07;14;"HACK";"MED";"US GA: State";2014
"7412";"crothall services group";2014-08-07;27;"DISC";"MED";"US GA: State";2014
"7413";"st francis college";2014-08-08;15;"PHYS";"MED";"US GA: State";2014
"7414";"the northern trust company";2014-07-29;10172;"DISC";"MED";"US GA: State";2014
"7415";"reading partners";2014-07-30;11;"PHYS";"MED";"US GA: State";2014
"7416";"lasko group inc";2014-07-30;210;"HACK";"MED";"US GA: State";2014
"7417";"dreslyn";2014-07-30;11;"HACK";"MED";"US GA: State";2014
"7418";"usaa";2014-07-31;16;"DISC";"MED";"US GA: State";2014
"7421";"vibram usa inc";2014-08-05;109;"HACK";"MED";"US GA: State";2014
"7423";"backcountry gear";2014-07-28;92;"HACK";"MED";"US GA: State";2014
"7424";"seattle university";2014-07-28;26;"DISC";"MED";"US GA: State";2014
"7425";"northshore university healthsystem";2014-07-25;1;"HACK";"MED";"US GA: State";2014
"7426";"oppenheimerfunds services";2014-07-24;1;"DISC";"MED";"US GA: State";2014
"7427";"totalbank";2014-07-09;63;"HACK";"MED";"US GA: State";2014
"7428";"bank of america";2014-07-17;26;"DISC";"MED";"US GA: State";2014
"7430";"washington national insurance company";2014-07-23;1;"HACK";"MED";"US GA: State";2014
"7431";"experian";2014-07-21;23;"HACK";"MED";"US GA: State";2014
"7432";"aecom technology corporation";2014-07-10;1892;"HACK";"MED";"US GA: State";2014
"7433";"park hill school district";2014-07-10;1;"INSD";"MED";"US GA: State";2014
"7436";"abm parking services inc";2014-07-08;3;"INSD";"MED";"US GA: State";2014
"7437";"citi";2014-07-08;17;"DISC";"MED";"US GA: State";2014
"7439";"intuit inc";2014-06-09;1;"HACK";"MED";"US GA: State";2014
"7440";"at t";2014-06-05;3;"INSD";"MED";"US GA: State";2014
"7441";"national credit adjusters llc";2014-06-05;57;"HACK";"MED";"US GA: State";2014
"7443";"ullico inc";2014-06-12;396;"PHYS";"MED";"US GA: State";2014
"7445";"primerica";2014-06-20;27;"PHYS";"MED";"US GA: State";2014
"7446";"rowan companies inc";2014-06-02;2;"HACK";"MED";"US GA: State";2014
"7447";"gordon feinblatt llc";2014-06-02;197;"HACK";"MED";"US GA: State";2014
"7448";"seterus";2014-06-27;1;"DISC";"MED";"US GA: State";2014
"7449";"baltimore school of massage therapy";2014-06-27;683;"DISC";"MED";"US GA: State";2014
"7450";"benjamin f edwards and co";2014-06-27;1139;"HACK";"MED";"US GA: State";2014
